ExifTool Version Number         : 13.03
File Name                       : bridge.jpg
Directory                       : .
File Size                       : 612 kB
File Modification Date/Time     : 2024:11:20 20:19:59+02:00
File Access Date/Time           : 2024:11:20 20:20:01+02:00
File Inode Change Date/Time     : 2024:11:20 20:19:59+02:00
File Permissions                : -rw-r--r--
File Type                       : JPEG
File Type Extension             : jpg
MIME Type                       : image/jpeg
JFIF Version                    : 1.01
Resolution Unit                 : inches
X Resolution                    : 300
Displayed Units X               : inches
Y Resolution                    : 300
Displayed Units Y               : inches
Current IPTC Digest             : b18a387fdf8876866c2ede39f75ed09c
Coded Character Set             : UTF8
Application Record Version      : 4
Time Created                    : 14:05:23+00:00
Digital Creation Date           : 2020:09:16
Digital Creation Time           : 14:05:23+00:00
By-line                         : luke stackpoole
Photoshop Thumbnail             : (Binary data 15034 bytes, use -b option to extract)
IPTC Digest                     : b18a387fdf8876866c2ede39f75ed09c
XMP Toolkit                     : Image::ExifTool 11.16
Lateral Chromatic Aberration Correction Already Applied: True
Lens                            : E 28-75mm F2.8-2.8
Lens Distort Info               : 1048742224/1073741824 19933098/1073741824 4774978/1073741824 265949/1073741824
Lens Info                       : 28-75mm f/2.8
Creator                         : luke stackpoole
Format                          : image/jpeg
Lens Model                      : E 28-75mm F2.8-2.8
Date Created                    : 2020:09:16 14:05:23Z
Create Date                     : 2020:09:16 14:05:23Z
Creator Tool                    : Adobe Photoshop Lightroom Classic 9.4 (Windows)
Metadata Date                   : 2020:09:25 17:02:59+01:00
Modify Date                     : 2020:09:25 17:02:59+01:00
Derived From Document ID        : A83E64A8AA28641F9C352726E3476ACE
Derived From Original Document ID: A83E64A8AA28641F9C352726E3476ACE
Document ID                     : xmp.did:139718ba-e77d-0f42-b971-535743143bd5
History Action                  : derived, saved
History Parameters              : converted from image/x-sony-arw to image/jpeg, saved to new location
History Changed                 : /
History Instance ID             : xmp.iid:139718ba-e77d-0f42-b971-535743143bd5
History Software Agent          : Adobe Photoshop Lightroom Classic 9.4 (Windows)
History When                    : 2020:09:25 17:02:59+01:00
Instance ID                     : xmp.iid:139718ba-e77d-0f42-b971-535743143bd5
Original Document ID            : A83E64A8AA28641F9C352726E3476ACE
Preserved File Name             : DSC02422.ARW
Already Applied                 : True
Auto Lateral CA                 : 0
Blacks 2012                     : +48
Blue Hue                        : -10
Blue Saturation                 : -10
Camera Profile                  : Camera Standard
Camera Profile Digest           : 92EFC0F09B2920CEB8BAA4E4617A742E
Clarity 2012                    : -10
Color Noise Reduction           : 25
Color Noise Reduction Detail    : 50
